Category,Make,Model,Right Oil
PCMO,Ford,Fusion Diesel,POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,Ford,Ikon Diesel Rocan,POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,Mahindra,Bolero (Six/Sle/Lx/Getaway),POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,Mahindra,Bolero Pickup,POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,Mahindra,Bolero Pickup/Maxx Maxitruck (CNG),POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,Mahindra,Bolero Vlx,POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,Mahindra,CDR 650 Di,POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,Mahindra,CL550,POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,Mahindra,Invader,POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,Mahindra,Maxx Maxitruck,POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,Mahindra,Maxx Pickup,POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,Mahindra,Savari,POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,Mahindra,Scorpio (Vix/Vis/Sle/LX-Mhawk),POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,Mahindra,Scorpio CRDe Six/Sle/Lx/Getaway,POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,Mahindra,Scorpio M2Di,POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,Mahindra,Scorpio Vlx/Vls Automatic (mHawk),POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,Mahindra,Xylo (mDi CDRe),POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,Mahindra,Xylo (mEagle),POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,Maruti Suzuki,Alto 800 (BS-III),POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,Maruti Suzuki,Car 800,POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,Maruti Suzuki,Eeco,POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,Maruti Suzuki,Omni (Without Demister),POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,Maruti Suzuki,Swift Diesel,POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,Maruti Suzuki,Swift Petrol,POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,Maruti Suzuki,Versa,POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,Maruti Suzuki,Wagon-R,POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,Maruti Suzuki,Zen (Old),POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,Maruti Suzuki,Zen Estilo (Old),POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,Nissan,Evalia,POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,Nissan,Micra Diesel,POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,Nissan,Sunny Diesel,POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,Nissan,Teana,POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,Renault,Fluence Diesel,POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,Renault,Koleos Diesel,POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,Renault,Logan Diesel,POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,Renault,Scala Diesel,POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,TATA,Estate,POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,TATA,Indica Diesel,POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,TATA,Indica Vista Diesel Quadrajet,POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,TATA,Indica Vista Diesel TDI,POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,TATA,Indigo Dicor Diesel,POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,TATA,Indigo Diesel,POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,TATA,Manza Diesel,POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,TATA,Safari Dicor,POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,TATA,Safari Diesel (Old),POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,TATA,Sumo Diesel,POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,TATA,Sumo Grande,POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,TATA,Sumo Turbo,POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,TATA,Tata Aria,POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,Toyota,Innova Diesel,POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,Toyota,Qualis Diesel,POWERTRON 15W-40 CH-4 and TURBOSTAR 20W-50 SM
PCMO,Chevrolet,Cruze Petrol,POWERTRON 5W-30 SN and Syntron 5W-40 SN/CF
PCMO,Ford,Figo Petrol,POWERTRON 5W-30 SN and Syntron 5W-40 SN/CF
PCMO,Hyundai,Elantra Petrol,POWERTRON 5W-30 SN and Syntron 5W-40 SN/CF
PCMO,Hyundai,Sonata Petrol,POWERTRON 5W-30 SN and Syntron 5W-40 SN/CF
PCMO,Maruti Suzuki,Grand Vitara 424,POWERTRON 5W-30 SN and Syntron 5W-40 SN/CF
PCMO,Renault,Duster Petrol,POWERTRON 5W-30 SN and Syntron 5W-40 SN/CF
PCMO,Renault,Fluence Petrol,POWERTRON 5W-30 SN and Syntron 5W-40 SN/CF
PCMO,Renault,Pulse Petrol,POWERTRON 5W-30 SN and Syntron 5W-40 SN/CF
PCMO,Ford,Fusion Petrol,POWERTRON 5W-30 SN and TURBOSTAR 20W-50 S
PCMO,Chevrolet,Astra/Corsa,POWERTRON 5W-30 SN and TURBOSTAR 20W-50 SM
PCMO,Chevrolet,Beat Petrol,POWERTRON 5W-30 SN and TURBOSTAR 20W-50 SM
PCMO,Chevrolet,Optra Magna 1.8 Petrol,POWERTRON 5W-30 SN and TURBOSTAR 20W-50 SM
PCMO,Chevrolet,Optra Petrol 1.8,POWERTRON 5W-30 SN and TURBOSTAR 20W-50 SM
PCMO,Chevrolet,Spark Petrol,POWERTRON 5W-30 SN and TURBOSTAR 20W-50 SM
PCMO,Chevrolet,UVA/Aveo Petrol,POWERTRON 5W-30 SN and TURBOSTAR 20W-50 SM
PCMO,Ford,Fiesta (Old) Petrol,POWERTRON 5W-30 SN and TURBOSTAR 20W-50 SM
PCMO,Ford,Ikon Petrol Endura,POWERTRON 5W-30 SN and TURBOSTAR 20W-50 SM
PCMO,Ford,Ikon Petrol Rocan,POWERTRON 5W-30 SN and TURBOSTAR 20W-50 SM
PCMO,Honda,Accord,POWERTRON 5W-30 SN and TURBOSTAR 20W-50 SM
PCMO,Honda,Brio,POWERTRON 5W-30 SN and TURBOSTAR 20W-50 SM
PCMO,Honda,City Petrol,POWERTRON 5W-30 SN and TURBOSTAR 20W-50 SM
PCMO,Honda,Civic,POWERTRON 5W-30 SN and TURBOSTAR 20W-50 SM
PCMO,Honda,CR-V,POWERTRON 5W-30 SN and TURBOSTAR 20W-50 SM
PCMO,Hyundai,Accent Petrol,POWERTRON 5W-30 SN and TURBOSTAR 20W-50 SM
PCMO,Hyundai,Getz,POWERTRON 5W-30 SN and TURBOSTAR 20W-50 SM
PCMO,Hyundai,Getz New,POWERTRON 5W-30 SN and TURBOSTAR 20W-50 SM
PCMO,Hyundai,i10,POWERTRON 5W-30 SN and TURBOSTAR 20W-50 SM
PCMO,Hyundai,i20 Petrol,POWERTRON 5W-30 SN and TURBOSTAR 20W-50 SM
PCMO,Hyundai,Verna Petrol,POWERTRON 5W-30 SN and TURBOSTAR 20W-50 SM
PCMO,Maruti Suzuki,A Star,POWERTRON 5W-30 SN and TURBOSTAR 20W-50 SM
PCMO,Maruti Suzuki,Alto 800 (BS IV),POWERTRON 5W-30 SN and TURBOSTAR 20W-50 SM
PCMO,Maruti Suzuki,Alto K-10,POWERTRON 5W-30 SN and TURBOSTAR 20W-50 SM
PCMO,Maruti Suzuki,Ertiga Petrol,POWERTRON 5W-30 SN and TURBOSTAR 20W-50 SM
PCMO,Maruti Suzuki,New Wagon-R / Estilo,POWERTRON 5W-30 SN and TURBOSTAR 20W-50 SM
PCMO,Maruti Suzuki,Ritz Petrol,POWERTRON 5W-30 SN and TURBOSTAR 20W-50 SM
PCMO,Nissan,Micra Petrol,POWERTRON 5W-30 SN and TURBOSTAR 20W-50 SM
PCMO,Renault,Logan Petrol,POWERTRON 5W-30 SN and TURBOSTAR 20W-50 SM
PCMO,Renault,Scala Petrol,POWERTRON 5W-30 SN and TURBOSTAR 20W-50 SM
PCMO,TATA,Indica Petrol,POWERTRON 5W-30 SN and TURBOSTAR 20W-50 SM
PCMO,TATA,Indica Vista Petrol,POWERTRON 5W-30 SN and TURBOSTAR 20W-50 SM
PCMO,TATA,Indigo Petrol,POWERTRON 5W-30 SN and TURBOSTAR 20W-50 SM
PCMO,TATA,Manza Petrol,POWERTRON 5W-30 SN and TURBOSTAR 20W-50 SM
PCMO,Toyota,Innova Petrol,POWERTRON 5W-30 SN and TURBOSTAR 20W-50 SM
PCMO,Toyota,Qualis Petrol,POWERTRON 5W-30 SN and TURBOSTAR 20W-50 SM
